time,temp
1727810388.1142645,40.3
1727810388.2281525,40.3
1727810388.393452,43.8
1727810388.5509052,43.8
1727810388.6649797,42.7
1727810388.8328936,42.7
1727810388.9499178,41.7
1727810389.0656905,45.9
1727810389.1788485,45.9
1727810389.2944176,45.9
1727810389.4557395,41.1
1727810389.612399,43.5
1727810389.7276042,43.5
1727810389.8867779,43.9
1727810389.9998412,43.9
1727810390.1160374,39.5
1727810390.2315776,39.5
1727810390.347523,43.0
1727810390.5185845,43.0
1727810390.6741138,43.2
1727810390.7904134,43.2
1727810390.9499154,40.8
1727810391.1043222,42.6
1727810391.262126,42.6
1727810391.3786514,43.8
1727810391.5374765,43.8
1727810391.693915,43.6
1727810391.8107488,43.6
1727810391.96942,43.5
1727810392.1261108,38.5
1727810392.2870045,38.5
1727810392.4441633,41.1
1727810392.557312,41.1
1727810392.7287512,44.2
1727810392.887818,46.8
1727810393.0003233,46.8
1727810393.112421,43.9
1727810393.2282357,43.9
1727810393.3848798,43.8
1727810393.541567,43.8
1727810393.7004154,41.7
1727810393.8583674,45.1
1727810393.9738111,45.1
1727810394.139609,40.4
1727810394.3043802,40.4
1727810394.4210725,43.5
1727810394.5788074,43.5
1727810394.6955187,39.3
1727810394.8122642,39.3
1727810394.975031,43.9
1727810395.130901,47.2
1727810395.2468886,47.2
1727810395.3638372,44.6
1727810395.4809456,44.6
1727810395.5989127,45.3
1727810395.7580774,45.3
1727810395.873934,40.5
1727810395.9878285,40.5
1727810396.1468916,44.0
1727810396.263467,44.0
1727810396.4202824,44.9
1727810396.5366452,44.9
1727810396.6498847,43.1
1727810396.8189862,43.1
1727810396.935705,45.1
1727810397.053988,45.1
1727810397.2105312,45.2
1727810397.3680367,40.9
1727810397.538664,40.9
1727810397.6518126,43.5
1727810397.7642338,43.5
1727810397.9178083,44.4
1727810398.0753658,44.4
1727810398.2339625,43.5
1727810398.3460848,43.6
1727810398.5003426,43.6
1727810398.6578035,43.4
1727810398.769542,43.4
1727810398.8822088,44.1
1727810398.9943333,44.1
1727810399.1469107,47.3
1727810399.3054864,47.3
1727810399.417239,43.3
1727810399.5745873,43.3
1727810399.7322521,45.4
1727810399.8488905,45.6
1727810400.0124981,45.6
1727810400.1270595,42.7
1727810400.2412505,42.7
1727810400.4100475,44.0
1727810400.580202,44.0
1727810400.6957183,48.2
1727810400.8122256,48.2
1727810400.973982,42.0
1727810401.1436749,42.4
1727810401.303133,42.4
1727810401.4655268,46.3
1727810401.5827463,43.4
1727810401.7475085,43.4
1727810401.9018853,42.4
1727810402.0167205,42.4
1727810402.128809,45.2
1727810402.2933376,45.2
1727810402.4651287,42.0
1727810402.6201484,45.5
1727810402.735773,45.5
1727810402.8517995,46.8
1727810403.011546,46.8
1727810403.1242998,43.6
1727810403.2406251,43.6
1727810403.3583388,47.2
1727810403.5170634,47.2
1727810403.6308515,48.0
1727810403.746965,48.0
1727810403.8640373,47.0
1727810404.0322485,47.0
1727810404.1877549,44.9
1727810404.303701,44.9
1727810404.4702268,44.4
1727810404.6406522,39.0
1727810404.7568605,39.0
1727810404.9268095,45.8
1727810405.0395184,45.8
1727810405.1529305,44.8
1727810405.2684193,44.8
1727810405.3847675,47.5
1727810405.5525734,47.5
1727810405.7095065,41.4
1727810405.8263876,47.0
1727810405.943312,47.0
1727810406.05873,47.0
1727810406.1727295,46.4
1727810406.3398063,46.4
1727810406.4566684,43.4
1727810406.6160817,45.2
1727810406.7721376,45.2
1727810406.8891356,48.2
1727810407.0032759,48.2
1727810407.1161916,42.5
1727810407.2788184,42.5
1727810407.3954637,46.0
1727810407.5086272,46.0
1727810407.6246839,43.0
1727810407.7943964,43.0
1727810407.95292,48.8
1727810408.1228392,48.9
1727810408.2356489,48.9
1727810408.350983,47.4
1727810408.5125391,47.4
1727810408.625067,45.6
1727810408.7923825,45.6
1727810408.9539735,44.9
1727810409.115872,46.1
1727810409.287167,46.1
1727810409.402929,48.4
1727810409.5579698,48.4
1727810409.714714,45.7
1727810409.871069,43.7
1727810409.9839668,43.7
1727810410.149882,46.8
1727810410.3097718,46.8
1727810410.4238179,45.2
1727810410.540451,45.2
1727810410.6533918,45.5
1727810410.7701678,45.5
1727810410.9426012,43.3
1727810411.0567818,43.3
1727810411.1718082,49.0
1727810411.3317702,49.0
1727810411.4891603,44.3
1727810411.604265,47.6
1727810411.7194803,47.6
1727810411.8364236,47.0
1727810411.9505801,47.0
1727810412.1182494,43.9
1727810412.2735538,43.9
1727810412.4380066,47.5
1727810412.6012201,47.5
1727810412.716141,50.0
1727810412.8327928,48.1
1727810412.995651,48.1
1727810413.1532185,49.0
1727810413.2691758,49.0
1727810413.4337394,47.8
1727810413.5467098,47.8
1727810413.699219,42.9
1727810413.8560448,45.0
1727810413.9683607,45.0
1727810414.1239355,43.0
1727810414.2834861,43.0
1727810414.3963768,50.6
1727810414.5075965,50.6
1727810414.620489,45.8
1727810414.7845685,45.8
1727810414.8972685,48.1
1727810415.0540938,48.1
1727810415.211674,46.5
1727810415.3722508,45.9
1727810415.5428123,45.9
1727810415.7050378,52.0
1727810415.8206027,47.2
1727810415.936356,47.2
1727810416.0959685,47.2
1727810416.2113445,41.1
